0x12c	0x1ffc9a7
0x160	0x4643427
0x1ab	0x5e3ea13
0x1cc	0x76cd7b0
0x1e0	0x1626ba7e
0x218	0x270b4e66
0x237	0x4da6d8e5
0x256	0x52828a93
0x283	0x8129fc1c
0x297	0x84b0196e
0x2be	0x87b61fdd
0x2f1	0x893aa9f6
0x310	0xb964fb25
0x32f	0xcc025f7c
0x362	0xe35dd03b
0x381	0xfcfbd33a
0x20449	0xeeeeeeee
