0xa7
0xb1
0xbf
0x10f
0x130
0x146
0x165
0x186
0x19c
0x1ae
0x1c4
0x1df
0x209
0x233
0x25d
0x391
0x41d
0x428
0x456
0x462
0x4d9
0x591
0x5be
0x5f8
0x6d1
0x70b
0x780
0x7ba
0x7f4
0x804
0x80e
0x81d
0x82e
0x838
0x847
0x8e0
0x904
0x99c
0x9c5
0x9ff
0xaa6
0xb03
0xb4f
0xbb6
0xbe4
0xc1e
0xc77
0xc9b
0xccb
0xd61
0xd9b
0xdae
0xde8
0xe3b
0xe9a
0xeab
0xeba
0xee0
0xef6
0xf1f
0xf35
0xf4b
0xf74
0xf8a
0xf9b
0xfd0
0xfdb
0x1026
0x102b
0x1037
0x1046
0x108e
0x10b7
0x10f5
0x114d
0x1157
0x1161
0x11bb
0x11fb
0x1224
0x1262
0x12cf
0x12d9
0x12e4
0x133d
0x1347
0x136d
0x1377
0x13a0
0x13b0
0x13b5
0x13c1
0x13d2
0x13e3
0x13f2
0x1414
0x1476
0x14b6
0x14c9
0x14fa
0x150b
0x1517
0x1559
0x1564
0x157f
0x15a0
0x15aa
0x15f3
0x1607
0x162b
0x163a
0x1678
0x168b
0x169e
0x16bc
0x1704
0x1744
0x1785
0x17ed
0x6447
