0x0	0x2
0x40	0x41
0xf	0x11
0x4	0x5
0x8	0x9
0x60	0x61
0x3f	0x40
0x2	0x4
0x5	0x7
0x7	0x8
0x9	0xc
0xd	0xe
0xe	0xf
0x11	0x13
0x13	0x18
0x18	0x17dc
0x1e	0x23
0x23	0x17de
0x28	0x2b
0x2d	0x2e
0x2e	0x31
0x38	0x3a
0x3a	0x3b
0x3b	0x3e
0x44	0x47
0x47	0x4a
0x4a	0x4b
0x4b	0x4d
0x4d	0x4f
0x4f	0x54
0x54	0x57
0x59	0x5c
0x5e	0x60
0x61	0x66
0x66	0x69
0x6b	0x6d
0x6d	0x70
0x70	0x72
0x74	0x76
0x76	0x77
0x77	0x7a
0x7b	0x7c
0x7c	0x7d
0x80	0x83
0x83	0x86
0x8a	0x8c
0x8c	0x9c
0x9c	0xb1
0xb1	0xb2
0xb2	0xb3
0xb3	0xc8
0xc8	0xc9
0xc9	0xca
0xca	0xcd
0xce	0xcf
0xcf	0xd0
0xd2	0xd3
0xd3	0xd5
0xd5	0xea
0xea	0xff
0xff	0x100
0x100	0x101
0x101	0x103
0x103	0x108
0x108	0x10b
0x10d	0x112
0x112	0x115
0x119	0x129
0x129	0x13e
0x13e	0x13f
0x13f	0x144
0x144	0x145
0x145	0x147
0x147	0x149
0x149	0x14b
0x14b	0x150
0x150	0x151
0x151	0x153
0x153	0x155
0x156	0x158
0x158	0x159
0x159	0x160
0x160	0x163
0x165	0x166
0x166	0x168
0x168	0x16b
0x16b	0x16d
0x16d	0x170
0x170	0x171
0x171	0x173
0x173	0x174
0x174	0x177
0x178	0x179
0x179	0x17a
0x17d	0x17e
0x17e	0x17f
0x17f	0x181
0x181	0x182
0x182	0x185
0x186	0x187
0x187	0x188
0x188	0x189
0x18a	0x18b
0x18b	0x18c
0x192	0x195
0x195	0x1aa
0x1aa	0x1ac
0x1ac	0x1ae
0x1ae	0x1b0
0x1b0	0x1b1
0x1b1	0x1b3
0x1b5	0x1b7
0x1ba	0x1bd
0x1bf	0x1c2
0x1c2	0x1d7
0x1d7	0x1dc
0x1dc	0x1de
0x1de	0x1e0
0x1e0	0x1e2
0x1e2	0x1e3
0x1e3	0x1e5
0x1e5	0x1e6
0x1e6	0x1eb
0x1eb	0x1ee
