0x0	0xd
0xd	0x1d
0xd2	0xda
0x1d	0x28
0x28	0x33
0x33	0x2311
0x1f0B0x57	0x1fbB0x57
0xfcB0x57	0x152B0x57
0x183B0x57	0x19dB0x57
0x1a5B0x57	0x1bfB0x57
0x1deB0x57	0x1e7B0x57
0x1cbB0x57	0x1dcB0x57
0x321B0x57	0x32aB0x57
0x203B0x57	0x218B0x57
0xd00B0x57	0xd13B0x57
0x288B0x57	0x2a2B0x57
0x2c2B0x57	0x2c7B0x57
0x2c7B0x57	0x2e9B0x57
0x1e7B0x57	0x1f0B0x57
0x1bfB0x57	0x1c3B0x57
0xd7cB0x253B0x57	0xd90B0x253B0x57
0xd98B0x253B0x57	0xdb2B0x253B0x57
0xdbaB0x253B0x57	0xdceB0x253B0x57
0x451B0x87	0x45cB0x87
0x364B0x87	0x3baB0x87
0x3ebB0x87	0x404B0x87
0x40cB0x87	0x426B0x87
0x43fB0x87	0x448B0x87
0x42aB0x87	0x43dB0x87
0xe32B0x87	0xe45B0x87
0x4beB0x87	0x4d7B0x87
0x4f7B0x87	0x4fcB0x87
0x4fcB0x87	0x508B0x87
0x510B0x87	0x527B0x87
0x448B0x87	0x451B0x87
0x426B0x87	0x42aB0x87
0xd7cB0x48aB0x87	0xd90B0x48aB0x87
0xd98B0x48aB0x87	0xdb2B0x48aB0x87
0xdbaB0x48aB0x87	0xdceB0x48aB0x87
0x66bB0xb7	0x676B0xb7
0x578B0xb7	0x5ceB0xb7
0x5ffB0xb7	0x618B0xb7
0x620B0xb7	0x63aB0xb7
0x659B0xb7	0x662B0xb7
0x646B0xb7	0x657B0xb7
0x67eB0xb7	0x693B0xb7
0xe8aB0xb7	0xe9dB0xb7
0x6f5B0xb7	0x70eB0xb7
0x72eB0xb7	0x733B0xb7
0x733B0xb7	0x755B0xb7
0x662B0xb7	0x66bB0xb7
0x63aB0xb7	0x63eB0xb7
0xd7cB0x6c1B0xb7	0xd90B0x6c1B0xb7
0xd98B0x6c1B0xb7	0xdb2B0x6c1B0xb7
0xdbaB0x6c1B0xb7	0xdceB0x6c1B0xb7
0x83dB0x42	0x84bB0x42
0x853B0x42	0x868B0x42
0x7fdB0x870B0x42	0x812B0x870B0x42
0x81aB0x870B0x42	0x82eB0x870B0x42
0x7e8B0x870B0x42	0x7f5B0x870B0x42
0xa7cB0x72	0xa8aB0x72
0xa92B0x72	0xaa7B0x72
0xa3cB0xaafB0x72	0xa51B0xaafB0x72
0xa59B0xaafB0x72	0xa6dB0xaafB0x72
0xa27B0xaafB0x72	0xa34B0xaafB0x72
0xbf7B0xa2	0xc05B0xa2
0xc0dB0xa2	0xc22B0xa2
0xbb7B0xc2aB0xa2	0xbccB0xc2aB0xa2
0xbd4B0xc2aB0xa2	0xbe8B0xc2aB0xa2
0xba2B0xc2aB0xa2	0xbafB0xc2aB0xa2
0xb35B0xb82B0x8c	0xb38B0xb82B0x8c
0xb38B0xb82B0x8c	0xb41B0xb82B0x8c
0xd51B0x232B0x57	0xd5eB0x232B0x57
0xd30B0xd3dB0xd66B0x232B0x57	0xd37B0xd3dB0xd66B0x232B0x57
0xd51B0x476B0x87	0xd5eB0x476B0x87
0xd30B0xd3dB0xd66B0x476B0x87	0xd37B0xd3dB0xd66B0x476B0x87
0xd51B0x6adB0xb7	0xd5eB0x6adB0xb7
0xd30B0xd3dB0xd66B0x6adB0xb7	0xd37B0xd3dB0xd66B0x6adB0xb7
0x9baB0xa07B0x5c	0x9bdB0xa07B0x5c
0x9bdB0xa07B0x5c	0x9c6B0xa07B0x5c
0x9baB0xa07B0xbc	0x9bdB0xa07B0xbc
0x9bdB0xa07B0xbc	0x9c6B0xa07B0xbc
0x1dcB0x57	0x1deB0x57
0x43dB0x87	0x43fB0x87
0x657B0xb7	0x659B0xb7
