0x0	0xd
0x3f	0x4a
0xd	0x1e
0x4e	0x1a79
0x11e	0x15d
0x9a	0xb8
0xda	0xf6
0x117	0x11c
0x165	0x183
0x1a5	0x1c1
0x1e2	0x1e7
0x1a7b	0x92
0x1e9	0x1f1
0x212	0x21a
0x245	0x24d
0x1e	0x29
0x29	0x34
0x34	0x3f
0xb8	0xcc
0x183	0x197
0x44bB0x23b	0x488B0x23b
0x6b9B0x6f5B0xcc	0x6c2B0x6f5B0xcc
0x6b6B0x6f5B0xcc	0x6b9B0x6f5B0xcc
0x6b9B0x6f5B0x197	0x6c2B0x6f5B0x197
0x6b6B0x6f5B0x197	0x6b9B0x6f5B0x197
0x6b9B0x9d4B0x288	0x6c2B0x9d4B0x288
0x6b6B0x9d4B0x288	0x6b9B0x9d4B0x288
0x52bB0x283	0x575B0x283
0x5afB0x283	0x5e4B0x283
0x613B0x283	0x62fB0x283
0x650B0x283	0x655B0x283
0x655B0x283	0x660B0x283
0x768B0x1f5	0x776B0x1f5
0x745B0x753B0x77eB0x1f5	0x74cB0x753B0x77eB0x1f5
0x29eB0x20b	0x2dfB0x20b
0x2e7B0x20b	0x305B0x20b
0x327B0x20b	0x343B0x20b
0x364B0x20b	0x369B0x20b
0x369B0x20b	0x373B0x20b
0x305B0x20b	0x319B0x20b
0x6b9B0x6f5B0x319B0x20b	0x6c2B0x6f5B0x319B0x20b
0x6b6B0x6f5B0x319B0x20b	0x6b9B0x6f5B0x319B0x20b
0x7f3B0x21e	0x804B0x21e
0x745B0x753B0x82bB0x21e	0x74cB0x753B0x82bB0x21e
0x7d0B0x7deB0x80cB0x21e	0x7d7B0x7deB0x80cB0x21e
0x7d0B0x7deB0x81aB0x21e	0x7d7B0x7deB0x81aB0x21e
0x846B0x251	0x855B0x251
0x745B0x753B0x86bB0x251	0x74cB0x753B0x86bB0x251
0x7d0B0x7deB0x85dB0x251	0x7d7B0x7deB0x85dB0x251
0x929B0x26e	0x93bB0x26e
0x962B0x26e	0x97bB0x26e
0x8e9B0x983B0x26e	0x8feB0x983B0x26e
0x906B0x983B0x26e	0x91aB0x983B0x26e
0x8d3B0x983B0x26e	0x8e1B0x983B0x26e
0x745B0x753B0x951B0x26e	0x74cB0x753B0x951B0x26e
0x8a1B0x8afB0x943B0x26e	0x8a8B0x8afB0x943B0x26e
0x402B0x234	0x418B0x234
0xb24B0x421B0x234	0xb32B0x421B0x234
0xb01B0xb0fB0xb3aB0x421B0x234	0xb08B0xb0fB0xb3aB0x421B0x234
0x4e3B0x267	0x4f9B0x267
0xb24B0x502B0x267	0xb32B0x502B0x267
0xb01B0xb0fB0xb3aB0x502B0x267	0xb08B0xb0fB0xb3aB0x502B0x267
