0x5af
0x5f3
0x60e
0x63c
0x65a
0x76f
0x796
0x830
0x8c9
0x8fc
0x923
0x9ac
0x9d3
0x9f7
0xa60
0xa84
0xf5f
0xf84
0x1399
0x13ca
0x152a
0x15f6
0x1611
0x163e
0x1690
0x1722
0x175e
0x17bf
0x17e9
0x180d
0x1880
0x1950
0x19cd
0x1a81
0x1c42
0x1e5f
0x1ea5
0x1fa3
0x1fee
0x2384
0x24ab
0x24be
0x24d8
0x24eb
0x2536
0x2549
0x25a0
0x25b3
0x27fe
0x28bc
0x28d9
0x28f5
0x2914
0x2953
0x29b5
0x2a58
0x2a95
0x2b05
0x2b4c
0x2b7f
0x2bc5
0x2c0c
0x2c3f
0x2caa
0x2d17
0x2d5e
0x2d8e
0x2dab
0x2dd8
0x2e05
0x2f07
0x2f24
0x2f40
0x2f60
0x2f80
0x2f9d
0x2fcc
0x3075
0x30ff
0x316f
0x31af
0x31e3
0x323b
0x326f
0x32e7
0x3315
0x3386
0x33b8
0x33da
0x33f6
0x3451
0x34b2
0x34de
0x35be
0x35db
0x3608
0x3635
0x3737
0x378d
0x3800
0x3828
0x383e
0x3925
0x3ae9
0x3cf0
0x3d37
0x3dec
