item_id,postcutoff_project_family_id,provenance_status,evidence_reference,evidence_notes,related_canonical_family_ids,related_control_projects,auditor_id,exclusion_reason
ethereum:0x00000000002da3a265e6718f233b00f26bd38ef0,,UNRESOLVED,,,,,,
ethereum:0x000004a52b5393195591c0a9fe4510b04cdaa8ad,,UNRESOLVED,,,,,,
ethereum:0x000004d1d0d37d0af6d5cbf38b8452243deb1691,,UNRESOLVED,,,,,,
ethereum:0x003eddc618e7135f6683d13e22d601f61cd7cc4e,,UNRESOLVED,,,,,,
ethereum:0x02ee251b0cf63d5f9a17134ad9cf3ecb881fa99e,,UNRESOLVED,,,,,,
ethereum:0x03fcd730e375f77483e262d052a5ad84f69c4d44,,UNRESOLVED,,,,,,
ethereum:0x06d79b53a238e5f27de66b8c22175e698e3a790d,,UNRESOLVED,,,,,,
ethereum:0x0aea5493ca3a2ba0a2d1dd39d957c724d3058b5b,,UNRESOLVED,,,,,,
ethereum:0x0db5c09fc1483df28c46a5517768af299bf25e25,,UNRESOLVED,,,,,,
ethereum:0x0df4cf0d2c382a656ea9565c60e37e1042958d9c,,UNRESOLVED,,,,,,
ethereum:0x0e51fd1cb32e7bf563d32889daa5bc6dd01bf390,,UNRESOLVED,,,,,,
ethereum:0x0eeac05b466f24b56e97c00b2b7194a037e8b1c5,,UNRESOLVED,,,,,,
ethereum:0x10f2bec74f9459a875094f49dc2ec2c336af9a51,,UNRESOLVED,,,,,,
ethereum:0x129541f53534def750220b2b160c5c1beb305950,,UNRESOLVED,,,,,,
ethereum:0x13c43de5464d36ae6cf54f6ca3a785e05c52fca0,,UNRESOLVED,,,,,,
ethereum:0x169f7754f731d9ab583578bc6a7c869782717c0c,,UNRESOLVED,,,,,,
ethereum:0x1aa15d2c1683e8f831376a4a855e5017fba97f41,,UNRESOLVED,,,,,,
ethereum:0x1d8199e344ddf1f852c93c396a0401e919f6b450,,UNRESOLVED,,,,,,
ethereum:0x1f0cbf6df751f7b86980000dbd2bd0426878454b,,UNRESOLVED,,,,,,
ethereum:0x1f760b5dfe50b7b4e33533571b3cd82ee58b2d89,,UNRESOLVED,,,,,,
ethereum:0x211aea658c4f2492a7586b65299f1dccf2cd66d0,,UNRESOLVED,,,,,,
ethereum:0x213fc223f2e7e1ec29a0d18bb950f9a431a5b112,,UNRESOLVED,,,,,,
ethereum:0x232830c9889435ed44935fd19f2989f1f380a4d7,,UNRESOLVED,,,,,,
ethereum:0x23875aa0ead846c3e0b47337d9bb8a8e537dea72,,UNRESOLVED,,,,,,
ethereum:0x242e809094f7fa83763119988d84e4f4d9528713,,UNRESOLVED,,,,,,
ethereum:0x268fd06baf8b4198c210a122aa7ff328f1f33233,,UNRESOLVED,,,,,,
ethereum:0x2726e47cbe369d21b6fcb4a5000697f726e3bef1,,UNRESOLVED,,,,,,
ethereum:0x27752000c3504d3fec86d50af91f02bc013ec95e,,UNRESOLVED,,,,,,
ethereum:0x2969d076bfb296e2ff3f4d26043457e47b01f6c7,,UNRESOLVED,,,,,,
ethereum:0x2a6eec61006626b12f1bdccaa409487ed6f47bad,,UNRESOLVED,,,,,,
ethereum:0x2c6143ff3cadde88d652f1e644b09e9f3f7aa41a,,UNRESOLVED,,,,,,
ethereum:0x2e5d4f3751ed2f7b4e180143cf5e352043042e3b,,UNRESOLVED,,,,,,
ethereum:0x2e9a1e3401c708e07fcb840de2df828783ea2c2a,,UNRESOLVED,,,,,,
ethereum:0x2fabea3f4cb4177eb870b27415a6f9671ce347a2,,UNRESOLVED,,,,,,
ethereum:0x3079d3868ff6ed1f84cf8ca764b319844042f944,,UNRESOLVED,,,,,,
ethereum:0x310fb93d147888fccbc6a41f59195ecd96843907,,UNRESOLVED,,,,,,
ethereum:0x34da365753049124461b347af2b1bcd5be9dbf64,,UNRESOLVED,,,,,,
ethereum:0x36d098ba5fff034332fcafc53366354343e735ae,,UNRESOLVED,,,,,,
ethereum:0x38065b4e87f64b77d5c943b6568372864b7e63c8,,UNRESOLVED,,,,,,
ethereum:0x399fbfea9fce84e57976c5c57d6ce7725a7f96f4,,UNRESOLVED,,,,,,
ethereum:0x3a82e647f19bfc9072f42561df9178897b0c4ae6,,UNRESOLVED,,,,,,
ethereum:0x3d965cfdda791589ccab955498d509f2f7e30b79,,UNRESOLVED,,,,,,
ethereum:0x3ed18d51c2ad302737b89f66c06ef47eb0d6257d,,UNRESOLVED,,,,,,
ethereum:0x47c603a58a1d3f24a8faf6ae80ec722235cfbbb9,,UNRESOLVED,,,,,,
ethereum:0x47ccf6cba8b6bf9a57b64222edf6cc392222f2e0,,UNRESOLVED,,,,,,
ethereum:0x486f25007488d69c2ee67e0c11e2d64d40cea83b,,UNRESOLVED,,,,,,
ethereum:0x4cb9a906b1d3ff669e08bac2effa92c51e0e2e1b,,UNRESOLVED,,,,,,
ethereum:0x4fc81313806ae594045d967f88ef936f7f041133,,UNRESOLVED,,,,,,
ethereum:0x543acb4bb10512e57d689a101f0952b90bf1fa71,,UNRESOLVED,,,,,,
ethereum:0x54d3e802c4c8c45f9d273b7f1d1255c37fa3d7dc,,UNRESOLVED,,,,,,
ethereum:0x56aa15ae741903eae7ba1f7207318ee28965ab8d,,UNRESOLVED,,,,,,
ethereum:0x56ef4d420533e3c4c7e79c64d1f958aa89d2c3a9,,UNRESOLVED,,,,,,
ethereum:0x5731889c08a2bb36fa8ae15f90a71bec8320eb78,,UNRESOLVED,,,,,,
ethereum:0x57733a1a6aa268c262d33995864272f5e312c663,,UNRESOLVED,,,,,,
ethereum:0x58a309b4601809dc45a58cb2c159972e955b9d6a,,UNRESOLVED,,,,,,
ethereum:0x59d3ee3563a4d7e3b631af80538dacbfff1ab775,,UNRESOLVED,,,,,,
ethereum:0x5b963a425cc0a498f2ee1e38066a2d891db6af62,,UNRESOLVED,,,,,,
ethereum:0x5c55336390029a3fb05c1a0655462ae8fc60ca4c,,UNRESOLVED,,,,,,
ethereum:0x5daebc0ccaf4070211984d33fc45a2f313f07199,,UNRESOLVED,,,,,,
ethereum:0x5e6d47ae6c032d115fd752ca95650cfc516c6493,,UNRESOLVED,,,,,,
ethereum:0x5e75977099a2b2828eb7a9f0cb5d0fcc403049ba,,UNRESOLVED,,,,,,
ethereum:0x5f26f70128e32eca6e1d4a58dd4cb26532affcc7,,UNRESOLVED,,,,,,
ethereum:0x5f3272c6ec9c1d0b00a11e60d4949964b4e3aeac,,UNRESOLVED,,,,,,
ethereum:0x6640c1cccaf07dbe765ec05e294fe427cc92831c,,UNRESOLVED,,,,,,
ethereum:0x681bcbc1fbc1c8a2f1f5b4a43e6d38c5ca220892,,UNRESOLVED,,,,,,
ethereum:0x6bf06089c78db928190fc85c591ab6d0da02cda9,,UNRESOLVED,,,,,,
ethereum:0x6c09e04f949e3cb03fed508a7e550f3387dc5ffe,,UNRESOLVED,,,,,,
ethereum:0x6d979539f11dc7038f574a15eea31f3e577d47f8,,UNRESOLVED,,,,,,
ethereum:0x6fa7b830679cc9e588042354a56b4aa1f8f8e9fe,,UNRESOLVED,,,,,,
ethereum:0x701b69eedd323659e5059127d5288d2a9f78bffb,,UNRESOLVED,,,,,,
ethereum:0x72dc3c1a7827aeeedf224ea94bd027ab6a0ae4c9,,UNRESOLVED,,,,,,
ethereum:0x748918b511c6838e630351e8f0adc72d9e77fa22,,UNRESOLVED,,,,,,
ethereum:0x74f2b03fdec0e9cc35aac867c67bc938233088fd,,UNRESOLVED,,,,,,
ethereum:0x75961c3f099558100617658ea8db0bbe3021054e,,UNRESOLVED,,,,,,
ethereum:0x75b93c20c18f4bf4cb7c8d5506c6eef9fc112063,,UNRESOLVED,,,,,,
ethereum:0x7702aace7914e5b7237aedb3df9b12b831f5172d,,UNRESOLVED,,,,,,
ethereum:0x7702cb554e6bfb442cb743a7df23154544a7176c,,UNRESOLVED,,,,,,
ethereum:0x77fb3d2ff6db9dcbf1b7e0693b3c746b30499ee8,,UNRESOLVED,,,,,,
ethereum:0x792b53282a85a884959f70ece940e2a5108e80a5,,UNRESOLVED,,,,,,
ethereum:0x7c4831868fb15b3220cf567256b8e5d206674071,,UNRESOLVED,,,,,,
ethereum:0x7dd72dbec4a281b55cc5b6ebd737933d60ae4a4c,,UNRESOLVED,,,,,,
ethereum:0x7e6cf01e1879e4f7cd451269c4bb2f00afe0ace3,,UNRESOLVED,,,,,,
ethereum:0x7fc70a7ab70eeed2bab474737cb450cf184e454b,,UNRESOLVED,,,,,,
ethereum:0x7fd487222215fae6a74482683d76c19c7768b469,,UNRESOLVED,,,,,,
ethereum:0x821f26a3c70464bacdaca7736d9cb308078bf309,,UNRESOLVED,,,,,,
ethereum:0x830c3ca901fba71a1454a5c8ae3b7a8b04f496a7,,UNRESOLVED,,,,,,
ethereum:0x854249aa14f6f357aeee5b7e0faffa90692de85e,,UNRESOLVED,,,,,,
ethereum:0x85865a99f0db671c38f10188ca390b506ec133d4,,UNRESOLVED,,,,,,
ethereum:0x87c322a93a6cd7b1beb3dbe1f3f296cf2b8eefae,,UNRESOLVED,,,,,,
ethereum:0x8b44320c6a7d9ef11385b923d9b875b652e86c24,,UNRESOLVED,,,,,,
ethereum:0x8bf1ceea142840af0007317097c7f8bd80fa6b66,,UNRESOLVED,,,,,,
ethereum:0x9176de7b26bb894b3d90e8980c7fc1322ca934d4,,UNRESOLVED,,,,,,
ethereum:0x93a81b920a9668762e463d243c12ce73003e240a,,UNRESOLVED,,,,,,
ethereum:0x948a948d54e316a73e224a67ebbd5c9785d9766d,,UNRESOLVED,,,,,,
ethereum:0x95eeb7bd0a63524a1614b374395c625dfb9dbd4a,,UNRESOLVED,,,,,,
ethereum:0x96da711359c6afe93a7257e4946e1f907c4c7628,,UNRESOLVED,,,,,,
ethereum:0x9a4cfb6bbb22112c36f9e585b47ccc27b7270f0f,,UNRESOLVED,,,,,,
ethereum:0x9bbc10cdec2ddce81b9525a4cb8248e120c79461,,UNRESOLVED,,,,,,
ethereum:0x9bdfd3b60d50808f42c9c5717cc5d59962275ad9,,UNRESOLVED,,,,,,
ethereum:0x9bfb46b845e8eb31e615d320bdbcaeb55b6df38a,,UNRESOLVED,,,,,,
ethereum:0x9e95a022e55f032de1f5e1357609579c20b04f75,,UNRESOLVED,,,,,,
ethereum:0x9ed18ba902951c16c2299ac234921380743a0a67,,UNRESOLVED,,,,,,
ethereum:0xa224a1c63df33be4967f0dd294ec1ef76268b742,,UNRESOLVED,,,,,,
ethereum:0xa34995732725b87aa889a31af23dac5029ec019a,,UNRESOLVED,,,,,,
ethereum:0xa41995871891e9fb6bb81ff7793a465f8ee239e8,,UNRESOLVED,,,,,,
ethereum:0xa55a543a0e2bb81ad69128fe0dfc6c703dd5e709,,UNRESOLVED,,,,,,
ethereum:0xa8fe0de70524ea35c5367ed3d3025a903e19d72b,,UNRESOLVED,,,,,,
ethereum:0xad9cca330a131cd3bf3886db21d734ec60ab3076,,UNRESOLVED,,,,,,
ethereum:0xb1fb48fa998ad4886320073f9cf1544c55d77dec,,UNRESOLVED,,,,,,
ethereum:0xb2b5f24fd69660318b5f94b9b4e4635f2fb900c8,,UNRESOLVED,,,,,,
ethereum:0xb4409521e628373e9a4a7676d9eabc4534fc46d4,,UNRESOLVED,,,,,,
ethereum:0xb8d903d63e5e6c3a31e8e239d93c859137d67bd1,,UNRESOLVED,,,,,,
ethereum:0xbbb339a55efda7cfed812b87bfecf6959af38eb4,,UNRESOLVED,,,,,,
ethereum:0xbe15f159dc73592b329801ebaa6ff7df38edf1c4,,UNRESOLVED,,,,,,
ethereum:0xbea1d2836d62c1a59b224c0c67bc7155f25edb91,,UNRESOLVED,,,,,,
ethereum:0xbf0031c923c47d5556ac4a08f7ff5cc1a69ba0bb,,UNRESOLVED,,,,,,
ethereum:0xc09f597034f654283a05b058ee1306534b837868,,UNRESOLVED,,,,,,
ethereum:0xc198b868065432a1f6f50eda203a9d93811d6e9b,,UNRESOLVED,,,,,,
ethereum:0xc452f89752420af721607ee1354d5e769c983a60,,UNRESOLVED,,,,,,
ethereum:0xc4fb760331a9d78f7443813ba754f9b64307d118,,UNRESOLVED,,,,,,
ethereum:0xc71abe765d86ce1b914b25d777698650ff259f35,,UNRESOLVED,,,,,,
ethereum:0xc79c0c9a2e23f6aae5325393830e124ef18f2748,,UNRESOLVED,,,,,,
ethereum:0xc7eccbb718cf9563f92127f20ddcbb2b81589a8f,,UNRESOLVED,,,,,,
ethereum:0xc842b4b9b655e200ffb4d14a5d5de9d8ee669cc9,,UNRESOLVED,,,,,,
ethereum:0xcc3de3ab890a913e1544be4439308d23a5b78e45,,UNRESOLVED,,,,,,
ethereum:0xce330c05d5bb99d524907d6772ead85a171f4d5c,,UNRESOLVED,,,,,,
ethereum:0xd4d594c99f23b1fb9d65fdd9062854b1a1c5780b,,UNRESOLVED,,,,,,
ethereum:0xd6912cce705724bcddebdb9d1e95af14cac041d3,,UNRESOLVED,,,,,,
ethereum:0xd6c3ea8b6d52c8b193aebb66fc2482b8408f98d7,,UNRESOLVED,,,,,,
ethereum:0xd72ec5026178f03a00603865dc79e49835c70885,,UNRESOLVED,,,,,,
ethereum:0xd750479e017fd6e1ff628683acd0b677c17da37a,,UNRESOLVED,,,,,,
ethereum:0xd7af111c28250f7ea1b954a9189dc7029a162147,,UNRESOLVED,,,,,,
ethereum:0xd7d20e03c9793bd1b63291eea0021c8cc096a915,,UNRESOLVED,,,,,,
ethereum:0xdba6f9e5658b5f196b3665e6fce4a509701e744e,,UNRESOLVED,,,,,,
ethereum:0xded68cc370dcdefed0dcb8b507b81f50f0ce175c,,UNRESOLVED,,,,,,
ethereum:0xe58c00943c99841717d9f62416173ba54607dbe2,,UNRESOLVED,,,,,,
ethereum:0xe676506e974bab214e42050cd04e383fb83612dd,,UNRESOLVED,,,,,,
ethereum:0xead130e5dba3d46757e53c296fbb41fd207fe591,,UNRESOLVED,,,,,,
ethereum:0xebc9bedfedfbf8761819bb610e6452f502f0b65c,,UNRESOLVED,,,,,,
ethereum:0xf0d89d8a4492070063fd40ac5855cf4d4c8b2ecd,,UNRESOLVED,,,,,,
ethereum:0xf0eacad7efd813774d6ba2b1b1317666d18fd90d,,UNRESOLVED,,,,,,
ethereum:0xf2e357ee8874272e10b3141e32e66df0eb6e9b15,,UNRESOLVED,,,,,,
ethereum:0xf32e5f1fcac29ff40f0eeb1861444e889ecbb74e,,UNRESOLVED,,,,,,
ethereum:0xf456464cd3ac63e94e122a88ec8d2bb9605d3823,,UNRESOLVED,,,,,,
ethereum:0xf5f53fd1f149e5546a468315ba20d80823869144,,UNRESOLVED,,,,,,
ethereum:0xfa55d2542b1b49ff2b8fd9e8d5a90874d9a3b3e5,,UNRESOLVED,,,,,,
ethereum:0xfb5451b7628d77701ccae272c5a7a48365800995,,UNRESOLVED,,,,,,
ethereum:0xfc18af07e9d58230326560e956649d7d1769facf,,UNRESOLVED,,,,,,
ethereum:0xfde47924c7cf623573e2ff7260f0a9f9ecceb39e,,UNRESOLVED,,,,,,
ethereum:0xfe01f1d8c4bc794f8fca6d7f39915c6af2bd6980,,UNRESOLVED,,,,,,
