item_id,dependence_cluster_id,dependence_cluster_size,authority_address,creator_address,creator_kind,linkage_evidence
ethereum:0x5e6d47ae6c032d115fd752ca95650cfc516c6493,D0058,1,0xc2c34fb09fe043d0eda59f014312f792704614cd,0x25ab16a274719c43ac68baf56c0f100f5a51839f,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x5e75977099a2b2828eb7a9f0cb5d0fcc403049ba,D0059,1,0x22e91b096e3732c9dc343e39d78c03a21b41ec34,0x3319c79b08213c156b6507b3325b90a77a7ed70c,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x5f26f70128e32eca6e1d4a58dd4cb26532affcc7,D0011,2,0xa08ec08291a7779d648017ada21b772eceac8a96,0x54ba52cbd043b0b2e11a6823a910360e31bb2544,EOA,SHARED_DEPLOYER_EOA
ethereum:0x5f3272c6ec9c1d0b00a11e60d4949964b4e3aeac,D0060,1,0x3b533011da43b526f32d1363af82d6905d7be840,0xe31fa5cdf6c1fd272266376360eff5e6d5235118,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0x6640c1cccaf07dbe765ec05e294fe427cc92831c,D0061,1,0x5eebf992bb82b5877ba08a5126c3308e996b5541,0x4e59b44847b379578588920ca78fbf26c0b4956c,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0x681bcbc1fbc1c8a2f1f5b4a43e6d38c5ca220892,D0062,1,0x1c80d2a677c4a7756cf7d00fbb1c1766321333c3,0xce0042b868300000d44a59004da54a005ffdcf9f,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0x6bf06089c78db928190fc85c591ab6d0da02cda9,D0063,1,0x492d255234c83f2ddc5aa904d8a9db6743e9f046,0x492d255234c83f2ddc5aa904d8a9db6743e9f046,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0x6c09e04f949e3cb03fed508a7e550f3387dc5ffe,D0064,1,0xd8349e874934593c85eafa8e534b495d80848e41,0xc5798cd00276dbfdcd85bc751f5edace052e5cdd,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0x6d979539f11dc7038f574a15eea31f3e577d47f8,D0065,1,0x17b0050ba60006c167a209e61f32c234b6934824,0xfd927137f82561b59606ee1fdf4eb1bf67118399,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x6fa7b830679cc9e588042354a56b4aa1f8f8e9fe,D0066,3,0x2854b6fb7ed126069f58429d98910e5afdd9a59b,0x2854b6fb7ed126069f58429d98910e5afdd9a59b,CONTRACT,SHARED_AUTHORITY_EOA
ethereum:0x701b69eedd323659e5059127d5288d2a9f78bffb,D0067,1,0x4a1637d4e58a34ec1999bfd96fb0e3826349f9b2,0xa5f327642ed55b992d8c72752f68a33fa18f4c25,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0x72dc3c1a7827aeeedf224ea94bd027ab6a0ae4c9,D0068,1,0x03008f13e5003400008858e428e9705800680031,0xacfdacadbe45a3f99dbe836ec7f4cb82cc7d1345,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x748918b511c6838e630351e8f0adc72d9e77fa22,D0069,1,0x8ee245554f9a2488707e82bf942c67d56f806a80,0x107a4596c5664fddd918fbd2605e69feae5fb4c6,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x74f2b03fdec0e9cc35aac867c67bc938233088fd,D0070,1,0x6a5916d04bd15017cbc3aa8d863f1e8f03e14d42,0x5b85687b6d4dce8daf3298a8ce12f9c9a679a89e,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x75961c3f099558100617658ea8db0bbe3021054e,D0071,1,0xe34e9ccd81cce165d72a8257e3b1cd7251321b96,0xe34e9ccd81cce165d72a8257e3b1cd7251321b96,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x75b93c20c18f4bf4cb7c8d5506c6eef9fc112063,D0072,1,0xe3f4737accd351c52e12a11043d0cb10c64d6e8b,0x6a81a1ba2c6946ed296c4ccade3d4b2bbd1b324e,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x7702aace7914e5b7237aedb3df9b12b831f5172d,D0073,1,0x801611884d56a8bb5a3d3acea36e29ae3ab555dc,0x645af4ccc0b667607155fa879296c0e01c5ce58b,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x7702cb554e6bfb442cb743a7df23154544a7176c,D0074,1,0x6fedd008e9ad5ac22dc82ce92c2be395fa7ea4a0,0x4e59b44847b379578588920ca78fbf26c0b4956c,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0x77fb3d2ff6db9dcbf1b7e0693b3c746b30499ee8,D0075,1,0x9cfcf9febd0d71a00e4a77e8e3f2ee9338a6a734,0xa822155c242b3a307086f1e2787e393d78a0b5ac,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x792b53282a85a884959f70ece940e2a5108e80a5,D0076,1,0xb5f48f8691f34babf9588d4cc27cea6d62ee1cfe,0x1f3aa552292a7a56953f1a94a1e34df32255a36a,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x7c4831868fb15b3220cf567256b8e5d206674071,D0077,1,0xdfd8114df5199bc64f60f508d831fd54fa601402,0xdfd8114df5199bc64f60f508d831fd54fa601402,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0x7dd72dbec4a281b55cc5b6ebd737933d60ae4a4c,D0078,1,0xe9f04e5c00ce5130c325e23d124cb85fb67bacb4,0xa2599c44094739d567fed5984be5c12ffdfe9478,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x7e6cf01e1879e4f7cd451269c4bb2f00afe0ace3,D0079,1,0x7b224bfe5802ea60ef41859dbfe1f9aec00f81e5,0x8dd5e6816ecbb59535f8c28f611cb3f8fb20216c,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x7fc70a7ab70eeed2bab474737cb450cf184e454b,D0080,1,0x52d892bc11e9755f924a1db0aa6981c7650b824f,0xd210a01ee6b8fbcc0ce693970000289978337dcb,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x7fd487222215fae6a74482683d76c19c7768b469,D0081,1,0x0788d6f1fa0a001439a99ac1d459ae35cbbe63f9,0x942754cc1e3b5e3621998739852bf25626ab41a4,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x821f26a3c70464bacdaca7736d9cb308078bf309,D0034,3,0xa1d879b946c5dae61f0e9d18471a192be3b1e4eb,0x284013665193b6f99f7d317f1ea1068e585e8057,EOA,SHARED_DEPLOYER_EOA
ethereum:0x830c3ca901fba71a1454a5c8ae3b7a8b04f496a7,D0082,2,0x8c76a394d736422cd0590d57f165b05e4e117835,0xc9979381750d5325378cbe36177e7ab037d87ce1,EOA,SHARED_AUTHORITY_EOA
ethereum:0x854249aa14f6f357aeee5b7e0faffa90692de85e,D0083,1,0x139367b4f5fe4d22bc30ea89dcc547812f720c6d,0x8a0fef8e3b2162161a994491e167f435613b40d2,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0x85865a99f0db671c38f10188ca390b506ec133d4,D0084,1,0x880e14298dd46418806f7b5e12b92aa9873bb5d4,0xe975e88b2227594ae23757da0d26a28140a2c7b6,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x87c322a93a6cd7b1beb3dbe1f3f296cf2b8eefae,D0085,1,0x679ac05bfd3d26e8fcd1ed4fd2feace6c35f64b9,0x01c9b18318f04aea5311afde07daa19e1c247d00,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0x8b44320c6a7d9ef11385b923d9b875b652e86c24,D0086,1,0x5da67d4f02f4939018239c190d4c3087ab710690,0xaf9cddb6920f7e19fb94e6b9a5caf2ef7a40df21,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0x8bf1ceea142840af0007317097c7f8bd80fa6b66,D0087,1,0xc2ac5eeb4b4f855534c2554095bcd03b59901234,0x0e1730aab680245971603f9edeaa0c85ebeaaaaa,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0x9176de7b26bb894b3d90e8980c7fc1322ca934d4,D0025,3,0xaabc86594bc0b8f7229828bde4a6698c6ee9e7ae,0x976c924d816d31c476c7912c81322dc2adc7240b,EOA,SHARED_DEPLOYER_EOA
ethereum:0x93a81b920a9668762e463d243c12ce73003e240a,D0088,1,0x3bd0063aad446f32c17bd81caed6b615946a5fc5,0xb89ac1b146ecdf63825833fa455b36adadc7973c,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x948a948d54e316a73e224a67ebbd5c9785d9766d,D0089,2,0x9b2ee368b9d94351cfeb607190deb3b29b11481f,0x0036c5199a8a87dcb7ef5d09bb6199f850fedfd8,EOA,SHARED_DEPLOYER_EOA
ethereum:0x95eeb7bd0a63524a1614b374395c625dfb9dbd4a,D0090,2,0xe6d91747ec9eb35da40b5d23224d715bcd9e1e62,0x810b0cfd3efc3006e8819a2f96225be6a228b752,EOA,SHARED_AUTHORITY_EOA
ethereum:0x96da711359c6afe93a7257e4946e1f907c4c7628,D0016,2,0xe0ffa990e88962cdcd2208b5357e9a76e6802bde,0xdb9daeef011b7120b3e164a3f75a785fce812c5d,EOA,SHARED_AUTHORITY_EOA;SHARED_DEPLOYER_EOA
ethereum:0x9a4cfb6bbb22112c36f9e585b47ccc27b7270f0f,D0091,1,0x6805571678a031da7ae8964b612c192e0f233913,0x618674a6aebfdd1c72108e475addba1ece4daf39,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x9bbc10cdec2ddce81b9525a4cb8248e120c79461,D0092,1,0xc7ccd4686e72fc0502d660f60dde8e542336a92f,0x1d75e498fd7602391b568f83c1d7827221e5d04c,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x9bdfd3b60d50808f42c9c5717cc5d59962275ad9,D0009,3,0xd32a221d4a671724ad666689cc5cc4d103fb13bc,0xd32a221d4a671724ad666689cc5cc4d103fb13bc,CONTRACT,SHARED_AUTHORITY_EOA
ethereum:0x9bfb46b845e8eb31e615d320bdbcaeb55b6df38a,D0093,1,0xeb6f6167b6a64f2125571a0565d56e7fdd0618e8,0x4f15e5b7afebd50dc80b15615ce1cf06247f3239,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x9e95a022e55f032de1f5e1357609579c20b04f75,D0094,1,0x1de00882dbb541116044aba0737274809ec32fd1,0x0c80b3d1c20e4fd15a8cf87a14ff1bccb684beeb,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x9ed18ba902951c16c2299ac234921380743a0a67,D0095,1,0x8cf5711775316c124d0a592797df680409941273,0xfb4cf4587b5c98d18fa96868b46ee37392578abc,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0xa224a1c63df33be4967f0dd294ec1ef76268b742,D0096,1,0x9175d5b34c0e8000c3e1ae90622a4429afabb510,0x7e207a732e4478488f3373a46e0f1a3d412ea84d,EOA,SINGLETON_NO_MUST_LINK
ethereum:0xa34995732725b87aa889a31af23dac5029ec019a,D0097,1,0x47df8f101aef2aa37c1232af02ed7e6ed5ff4347,0x4e59b44847b379578588920ca78fbf26c0b4956c,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0xa41995871891e9fb6bb81ff7793a465f8ee239e8,D0098,1,0xd619867aef17cabb116b4123f74e17f1c9b7aaea,0xb46fcfb8fa043969726d3254aa89e7dfc96a3eaa,EOA,SINGLETON_NO_MUST_LINK
ethereum:0xa55a543a0e2bb81ad69128fe0dfc6c703dd5e709,D0099,1,0x1c02823b6ae07be7005b8223e8948da4c0736b1b,0x1c02823b6ae07be7005b8223e8948da4c0736b1b,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0xa8fe0de70524ea35c5367ed3d3025a903e19d72b,D0100,1,0xacc14689d299d60ffd2c1c8d3670c22042965165,0xcf3b67e7b67d58186c7cbcb3a397b841882fd302,EOA,SINGLETON_NO_MUST_LINK
ethereum:0xad9cca330a131cd3bf3886db21d734ec60ab3076,D0101,1,0x9fe9f7c19251e04291266f9e9543576b38c40673,0x4e59b44847b379578588920ca78fbf26c0b4956c,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0xb1fb48fa998ad4886320073f9cf1544c55d77dec,D0102,1,0xbeeac9b3540a1c14baa233665cf2aa8e0b686c01,,UNKNOWN,SINGLETON_NO_MUST_LINK
ethereum:0xb2b5f24fd69660318b5f94b9b4e4635f2fb900c8,D0066,3,0x2854b6fb7ed126069f58429d98910e5afdd9a59b,0x2854b6fb7ed126069f58429d98910e5afdd9a59b,CONTRACT,SHARED_AUTHORITY_EOA
ethereum:0xb4409521e628373e9a4a7676d9eabc4534fc46d4,D0103,1,0x6e56dbf85352b790a549642e76ea55124865d4a6,0x5700c14b17cc75b71e5976b044404c52d01f4d7c,EOA,SINGLETON_NO_MUST_LINK
ethereum:0xb8d903d63e5e6c3a31e8e239d93c859137d67bd1,D0104,1,0xad0f3f4bec42cda68d2cd31301b3c3de3b0f50e2,0x354254f270957fda9b531a48c903342596900da0,EOA,SINGLETON_NO_MUST_LINK
ethereum:0xbbb339a55efda7cfed812b87bfecf6959af38eb4,D0105,1,0xc6d04fb626ef396dfdb3f33bb05fd0dea7f25a03,0xdead7f94da688543dcf661114abbf626a8386666,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0xbe15f159dc73592b329801ebaa6ff7df38edf1c4,D0106,1,0x762c86cbd4e0b88d8d734ec8507b29e00d09b4fd,0x3ddaf706d2a6f3d4fe57e6d44bff56b50e0b70e1,EOA,SINGLETON_NO_MUST_LINK
ethereum:0xbea1d2836d62c1a59b224c0c67bc7155f25edb91,D0107,1,0x6609011e77628399e2f2fe417392d735e7a6d285,0xdf9dd774f202657bea0773887a22ea583a9e797d,EOA,SINGLETON_NO_MUST_LINK
ethereum:0xbf0031c923c47d5556ac4a08f7ff5cc1a69ba0bb,D0090,2,0xe6d91747ec9eb35da40b5d23224d715bcd9e1e62,0xa807d2c83e1c45859f05eaab71961b8d64cf4587,CONTRACT,SHARED_AUTHORITY_EOA
ethereum:0xc09f597034f654283a05b058ee1306534b837868,D0108,1,0xe6d2778e5024f6ee68761b75da112cbf45c6c35c,0x8b5606469e21c75edd7c74d1c7a65824675d9aff,EOA,SINGLETON_NO_MUST_LINK
ethereum:0xc198b868065432a1f6f50eda203a9d93811d6e9b,D0109,1,0xd9bb3554e2588b33c0a3cc9996729f0fca12d550,0x606e972e027fcd65b5f9b05fc666ae3a0a78551d,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0xc452f89752420af721607ee1354d5e769c983a60,D0110,1,0x107aa25f8eb96361e9ce26c1004f6de4164df102,0xaff248e2b23fd3595740893ec31ed54a278b68f9,EOA,SINGLETON_NO_MUST_LINK
ethereum:0xc4fb760331a9d78f7443813ba754f9b64307d118,D0111,1,0x0d8edba1f362e14d61f854e20bb1802d78b69e1e,0x2538587c5ceaae6ffa1e9fce93bdadd3227c42a1,EOA,SINGLETON_NO_MUST_LINK
ethereum:0xc71abe765d86ce1b914b25d777698650ff259f35,D0112,1,0x4271a9d7e3855f0c93c20358b73b064ca8a2488a,0x4271a9d7e3855f0c93c20358b73b064ca8a2488a,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0xc79c0c9a2e23f6aae5325393830e124ef18f2748,D0113,1,0xe6a10a0156375a5546195e30e202247f87a60051,0xa6c5b171785a8a813738ce0a2b96e9c34ddfbdc1,EOA,SINGLETON_NO_MUST_LINK
