0x3be1	0x3be3
0x3be4	0x36
0x3be7	0x57
0xffB0x71	0xb01
0x174B0x71	0xb1e
0x1fbB0x76B0x50	0x84a
0x61aB0x76B0x50	0xbd9
0x72bB0x76B0x50	0xb01
0x744B0x76B0x50	0xb1e
0x74eB0x76B0x50	0xbd9
0x811B0x76B0x50	0x84a
