0x50
0x55
0x71
0x7e
0xf7
0x174
0x186
0x22b
0x2fa
0x382
0x3f9
0x465
0x4dd
0x61a
0x624
0x642
0x683
0x72b
0x73a
0x744
0x74e
0x758
0x844
0x8cc
0x98b
0x9cd
0xa0c
0xa99
0xaa7
0xabc
0xb80
0xb8e
0xc47
0xd54
