0xfef
0x1025
0x104a
0x1146
0x11d2
0x1318
0x132d
0xf42S0x10d7
0x10c0S0x10cc
0xf42S0xf52S0x4ce
0x1225S0x1323
0x12cdS0x1323
0x10c0S0x124aS0x12c9S0x1323
0xb85S0x1254S0x12c9S0x1323
